id,frame,seconds,timestamp,path,confidence
8,412,28.64349102973938,10:22:24-2022-06-17,./cropped_detections/vehicle_8.png,0.8283911347389221
17,536,37.57324085235596,10:22:33-2022-06-17,./cropped_detections/vehicle_17.png,0.8963574767112732
32,816,57.739955520629884,10:22:53-2022-06-17,./cropped_detections/vehicle_32.png,0.9126232862472534
42,1436,109.9734676361084,10:23:45-2022-06-17,./cropped_detections/vehicle_42.png,0.8648556470870972
48,1804,126.12203025817871,10:24:02-2022-06-17,./cropped_detections/vehicle_48.png,0.8821488618850708
74,2808,195.35669116973878,10:25:11-2022-06-17,./cropped_detections/vehicle_74.png,0.8394759297370911
78,2860,200.96569347381592,10:25:16-2022-06-17,./cropped_detections/vehicle_78.png,0.9788224697113037
91,3676,257.2017875671387,10:26:13-2022-06-17,./cropped_detections/vehicle_91.png,0.6696054935455322
139,6348,453.7121329307556,10:29:29-2022-06-17,./cropped_detections/vehicle_139.png,0.6762473583221436
152,6732,475.1338442802429,10:29:51-2022-06-17,./cropped_detections/vehicle_152.png,0.8875792622566223
165,6724,473.29441080093386,10:29:49-2022-06-17,./cropped_detections/vehicle_165.png,0.8728381395339966
174,7040,492.35851287841797,10:30:08-2022-06-17,./cropped_detections/vehicle_174.png,0.6628119945526123
182,7208,511.22720890045167,10:30:27-2022-06-17,./cropped_detections/vehicle_182.png,0.9013078808784485
193,7644,539.7065629005432,10:30:55-2022-06-17,./cropped_detections/vehicle_193.png,0.829840898513794
244,10164,720.9813910961151,10:33:56-2022-06-17,./cropped_detections/vehicle_244.png,0.7148318290710449
262,11136,797.3135284423828,10:35:13-2022-06-17,./cropped_detections/vehicle_262.png,0.7901869416236877
267,11540,808.8213562965393,10:35:24-2022-06-17,./cropped_detections/vehicle_267.png,0.9692109227180481
